town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
508896,Pohronský Bukovec,48.8356241,19.3775007,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,8.12,"14,470,786",118,25.1,28,24.3,27
508918,Poniky,48.7112066,19.2922734,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,26.49,"59,036,971",1564,14.5,22,13.7,21
508926,Povrazník,48.71213605,19.36705572,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,42.45,"3,345,184",142,28.2,36,27.4,35
508942,Priechod,48.7925026,19.21934907,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,87.46,"11,211,220",981,12.2,19,11.2,18
508969,Riečka - Banská Bystrica,48.752632,19.0838243,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,121.95,"6,822,733",832,7.3,13,7.4,14
508977,Sebedín - Bečov,48.6369441,19.2399907,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,37.55,"9,626,125",362,16.6,22,15.7,20
508985,Selce - Banská Bystrica,48.7654811,19.2028636,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,106.58,"19,994,146",2131,7,12,6,10
509001,Slovenská Ľupča,48.7667001,19.2747386,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,100.8,"32,325,200",3259,12,15,11.2,14
509035,Špania Dolina,48.8074695,19.134012,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,17.01,"12,724,590",217,10.8,16,11.8,19
509019,Staré Hory,48.8375526,19.1157533,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,13.32,"41,560,848",554,14.8,17,15.8,20
509027,Strelníky,48.7215525,19.3943965,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,44.63,"17,467,404",780,25.9,32,25.1,31
509060,Tajov,48.7416136,19.05117921,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,71.16,"9,289,497",661,9.6,17,9.6,18
557269,Turecká,48.858297,19.07926038,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,14.81,"10,162,664",151,18.4,23,19.5,26
557293,Vlkanová,48.67546905,19.16681587,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,169.51,"7,778,155",1319,11.6,16,10.7,14
516601,Baďan,48.3393687,18.84298288,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,11.36,"15,091,117",172,20.5,29,64.2,65
516627,Banská Belá,48.4732822,18.939332,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,56.13,"21,075,772",1183,8.1,11,41,33
